project,issue_key,section,type,indicator,text
Camel,CAMEL-10009,comment_0,non_debt,-,If you use then it works
Camel,CAMEL-10009,description,non_debt,-,If you use spring and then refer to an endpoint And then in a route has Then you get this spring error
Camel,CAMEL-10009,summary,non_debt,-,Using <to> with id and ref fails
Camel,CAMEL-10022,comment_0,non_debt,-,There is a basic health indicator now.
Camel,CAMEL-10022,comment_1,non_debt,-,We need the health check API in camel-core for fine grained status of routes etc.
Camel,CAMEL-10022,description,non_debt,-,see the section on writing custom health indicators: it'd be awesome if any spring boot camel application automatically got a health indicator to show if any camel contexts or routes fail to startup (or fail during their lifetime)
Camel,CAMEL-10022,summary,non_debt,-,add a Spring Boot HealthIndicator to check that all camel contexts have started up and all the routes started OK
Camel,CAMEL-10033,comment_0,non_debt,-,We were missing property in parent POM and camel-avro is using it in its Karaf feature definition.
Camel,CAMEL-10033,description,non_debt,-,It hangs during installation in karaf
Camel,CAMEL-10033,summary,non_debt,-,camel-avro - Cannot install in karaf
Camel,CAMEL-10048,comment_0,non_debt,-,Adding a unit test to reproduce
Camel,CAMEL-10048,comment_1,design_debt,non-optimal_design,"How to fix? I think, the best way is to remove this dangerous caching at all. There might be a temptation to implement equals() and hashCode() methods in the helper class in a way to delegate both these calls to the processor wrapped by this class. However, the root cause of the problem is the incorrect usage of a hash map. Key must implement equals() and hashCode(). We cannot require all implementations of Processor and RouteContext to implement these methods - it would be an unmotivated bloating of their contracts with irrelevant functionality. Error handlers in RoutingSlip are short-living objects, they shouldn't get into Old Gen, so GC will clean them without significant performance overhead."
Camel,CAMEL-10048,comment_2,documentation_debt,low_quality_documentation,"Hello Claus, Is it ok to use Processor as a key in a hash map? Should every implementer keep this in mind and provide equals() and hashCode()? Javadoc in Processor interface tells nothing about it."
Camel,CAMEL-10048,description,design_debt,non-optimal_design,"RoutingSlip has a cache of error handlers implemented as a ConcurrentHashMap. This map stores error handlers as values, and uses some synthetic objects as keys. For some kind of destinations provided in routing slip, map lookup operation does not work. Hence, new error handlers are always added to the map and existing error handlers never reused. Finally, the program runs out of memory. The synthetic keys are actually instances of class Such key is based on two objects: RouteContext and destination Processor. Neither RouteContext nor Processor do not require their implementations to provide equals() and hashCode() methods. Strictly speaking, caching implementation in RoutingSlip is incorrect, because it uses hash map in the discouraged way. However, for some cases it works. The problem occurs when routing slip contains a 'sync' destination, in other words - destination is a Processor that does not implement AsyncProcessor interface. RoutingSlip determines destination producer via and the latter uses method. This method creates new instance of Processor for every processor that is not an instance of AsyncProcessor. This is where the problem hides: new object has different hash code (defined by Object.hashCode()) and new object isn't equal to the object used as a key in the hash map (well, Object.equals()). Finally, new key for the hash map is calculated, lookup operation cannot find this key in the hash map, new key-value pair is put into the hash map."
Camel,CAMEL-10048,summary,code_debt,low_quality_code,Memory leak in RoutingSlip
Camel,CAMEL-10060,comment_0,non_debt,-,The package scanning is deprecated and you should really use the FQN in the marker file to refer to your classes of type converters.
Camel,CAMEL-10060,comment_1,non_debt,-,A custom implementation of (extending the default) is likely needed for spring boot to be able to scan inside spring boot fat JARs
Camel,CAMEL-10060,comment_2,non_debt,-,"Yes, actually, I didn't want to use it, it's the camel-core test-jar, that is included transitively by several modules in test scope, that requires package scanning (making integration tests fail). I reported it also to understand if the same technique of package scanning is used elsewhere for some core feature."
Camel,CAMEL-10060,comment_4,non_debt,-,Thanks for the PR
Camel,CAMEL-10060,description,non_debt,-,"When custom converters are included in a spring-boot nested jar, and the corresponding declares just the package containing the converters (not their full class names), spring-boot is not able to find them. Eg. whenever you include the camel-core *test-jar* in a spring-boot application, the application crashes with the attached exception. This happens only when the application is packaged and launched with `java -jar everything works if the application is not packaged. I experienced the same behavior with a sample module created ad hoc. The problem is related to package scanning, when names are used in the descriptor there are no problems."
Camel,CAMEL-10060,summary,non_debt,-,Cannot scan package to find custom converters
Camel,CAMEL-10144,comment_0,non_debt,-,"This is a generic problem with Salesforce, so the solution is to follow the REST principle of ignoring unknown fields altogether. This behaviour will be common to JSON and XML and will avoid future issues where running code breaks in production because Salesforce decided to add fields from new APIs in responses to older API versions."
Camel,CAMEL-10144,comment_1,non_debt,-,Fixed on branches master and camel-2.17.x
Camel,CAMEL-10144,comment_2,non_debt,-,"The fix doesn't seem to be working. As part if this fix the annotation = true) was added to the base class ""AbstractDTOBase"" Unfortunately this annotation has not been defined as ""@Inherited"" and thus is not inherited by the sub classes. Maybe this annotation should be added to ""sobject-pojo.vm"" so that it gets added to each of the generated classes"
Camel,CAMEL-10144,comment_3,non_debt,-,"Interesting point about the {{@Inherited}} annotation, but the effect seems to be that it's being inherited. Try removing the annotation from {{AbstractDTOBase}} and running the test it should fail without the annotation on the base class. This is on both _master_ and _camel-2.17-x_ branches even though they use different version of jackson."
Camel,CAMEL-10144,comment_4,non_debt,-,"Never looked into RestResources. Let me check why that works. I suspect something to do with XStream VS Jackson processing Now what I did look into and tested, was user generated DTO . So, for example, if I create a DTO for say Account sObject and then somebody, later on, adds a new, say, a custom field, to Account, the deserialization fails. If the annotation is added to the generated class rather then the base class, deserialization passes."
Camel,CAMEL-10144,comment_5,non_debt,-,"I ran the test after commenting out the field and it ran without any errors. If the annotation didn't work in the base class, the missing field would have caused the test to fail. BTW, the field does return a non-default {{true}} value when it's present in the class. Try your test by commenting out an existing field from the generated Account DTO. Not sure why that case would be different from when a new Salesforce field is added, but give it a shot."
Camel,CAMEL-10144,comment_6,non_debt,-,You are right. Its working as expected. Not sure why though :( Please ignore
Camel,CAMEL-10144,description,non_debt,-,"Salesforce adds fields to even after an API has been released. This needs to be handled in the component by ignoring unknown properties for that type. XStream doesn't support doing this for an single DTO, but it can be done for all types by using It will make it ignore all unknown properties for all inbuilt DTOs as wells user generated ones. But since the XML payload is less popular, hopefully this behavior won't be an issue."
Camel,CAMEL-10144,summary,non_debt,-,Salesforce keeps breaking backward compatibility by adding fields to older API versions
Camel,CAMEL-1014,comment_0,non_debt,-,Damm in ExpressionType everything is more or less @XmlTransient
Camel,CAMEL-1014,comment_1,non_debt,-,"Is this really needed? Don't we use ExpressionType in the Spring DSL already? For instance, I just used it in the ExceptionType... Maybe I'm missing something obvious here :)"
Camel,CAMEL-1014,comment_2,non_debt,-,"Yeah sort of, you had to add a new class HandledPredicate to get it in the XSD for the onException. If we need it in other areas as well we have to add new classes there as well. There might be something we can do generally. If not then .. well then we gotta add the needed classes."
Camel,CAMEL-1014,comment_3,non_debt,-,"Ah, I think I get it. You'd like to have a reusable JAXB class for creating an expression in an element, like: instead of including say the expression type directly Make sense?"
Camel,CAMEL-1014,comment_4,non_debt,-,I just committed a fix for this. Now to get something like this You need to add this to your model class:
Camel,CAMEL-1014,comment_5,non_debt,-,Closing 1.5 issues
Camel,CAMEL-1014,description,non_debt,-,None
Camel,CAMEL-1014,summary,non_debt,-,ExpressionType is missing in Spring DSL
Camel,CAMEL-10153,comment_0,non_debt,-,Looks like in master the spring version for spring-dm is already extended and a separate spring-dm module is extracted. So I think it makes sense to limit the camel-cxf spring version to reflect the camel-spring limitations like you propose in the description. For later camel version we then seem to have a path to work with higher spring versions.
Camel,CAMEL-10153,description,architecture_debt,using_obsolete_technology,"Camel 2.17.x upgraded spring version to 4.x in most of the components. but for camel-cxf component, it still has to use spring-dm and spring version 3.x, the spring version range in the Import-Package should keep [3.2,4), not [4.1,5). Now the ERROR will happen when install camel-cxf feature into karaf container (in case of both Spring 4.x and Spring 3.x are installed in the container) To fix it, make change to the pom.xml"
Camel,CAMEL-10153,summary,non_debt,-,"[Camel-cxf] the spring version range in the Import-Package should be [3.2,4)"
Camel,CAMEL-1018,comment_0,non_debt,-,Patch replaced with the one based on the latest svn revision.
Camel,CAMEL-1018,comment_1,non_debt,-,Applied patch with thanks to Balazs. Also updated the wiki page.
Camel,CAMEL-1018,comment_2,non_debt,-,Closing 2.0m1 tickets
Camel,CAMEL-1018,description,non_debt,-,"Imagine a use case when the target systems, where http messages have to be sent to, are maintained in a database. In that case the http uri is cannot be set in the camelcontext but it should come from the header of the message. So the http client should check first if there is an uri in the header and if not than use the one given in the camelcontext (like for querystring)."
Camel,CAMEL-1018,summary,non_debt,-,camel http Uri from the message header
Camel,CAMEL-10273,comment_2,non_debt,-,Thanks for the PR
Camel,CAMEL-10273,description,non_debt,-,"If a custom configuration for the ThreadPool is passed, the correspondent JMX object is not published. The issue here is that enableJmx(), that adds the mbeans listeners is called only after setThread method, so this explains how come the threadpool is not exposed on JMX. I've put a simple PR that just adds a check for {{enableJmx}} flag at component level, but I wonder if I should make it smarter to take in account possible settings only at Endpoint level or instead if we should remove it the flag per Endpoint altogether."
Camel,CAMEL-10273,summary,non_debt,-,[Jetty] missing jmx object if custom thread pool is used
Camel,CAMEL-10291,comment_2,non_debt,-,Thanks for the PR :-)
