project,text,classification
apache-ant-1.7.0,// FIXME formatters are not thread-safe,defect_debt
apache-ant-1.7.0,"// XXX: (Jon Skeet) The comment ""if it hasn't been done already"" may // not be strictly true. wrapper.maybeConfigure() won't configure the same // attributes/text more than once, but it may well add the children again, // unless I've missed something.",defect_debt
apache-ant-1.7.0,"// I hate to admit it, but we don't know what happened // here.  Throw the Exception.",defect_debt
apache-ant-1.7.0,"// Just a note: StarTeam has a status for NEW which implies // that there is an item  on your local machine that is not // in the repository.  These are the items that show up as // NOT IN VIEW in the Starteam GUI. // One would think that we would want to perhaps checkin the // NEW items (not in all cases! - Steve Cohen 15 Dec 2001) // Unfortunately, the sdk doesn't really work, and we can't // actually see  anything with a status of NEW. That is why // we can just check out  everything here without worrying // about losing anything.",defect_debt
apache-ant-1.7.0,// the generated classes must not be added in the generic JAR! // is that buggy on old JOnAS (2.4) ??,defect_debt
apache-ant-1.7.0,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,defect_debt
apache-ant-1.7.0,"// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows",defect_debt
apache-ant-1.7.0,// pattern now holds ** while string is not exhausted // this will generate false positives but we can live with that.,defect_debt
apache-ant-1.7.0,"// FIXME: Is ""No Namespace is Empty Namespace"" really OK?",defect_debt
apache-ant-1.7.0,// FIXME this is actually not very cpu cycles friendly as we are converting from // dos to java while the underlying Sun implementation will convert // from java to dos time for internal storage...,defect_debt
apache-ant-1.7.0,// check first that it is not already loaded otherwise // consecutive runs seems to end into an OutOfMemoryError // or it fails when there is a native library to load // several times. // this is far from being perfect but should work // in most cases.,defect_debt
apache-ant-1.7.0,"// TODO: // A warning line, that shows code, which contains a variable // error will cause some trouble. The parser should definitely // be much better.",defect_debt
apache-ant-1.7.0,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver,defect_debt
