project,issue_number,issue_type,text,classification,indicator
camel,10009,comment_0,If you use then it works,non_debt,-
camel,10009,description,If you use spring and then refer to an endpoint And then in a route has Then you get this spring error,non_debt,-
camel,10009,summary,Using <to> with id and ref fails,non_debt,-
camel,10022,comment_0,There is a basic health indicator now.,non_debt,-
camel,10022,comment_1,We need the health check API in camel-core for fine grained status of routes etc.,non_debt,-
camel,10022,description,see the section on writing custom health indicators: it'd be awesome if any spring boot camel application automatically got a health indicator to show if any camel contexts or routes fail to startup (or fail during their lifetime),non_debt,-
camel,10022,summary,add a Spring Boot HealthIndicator to check that all camel contexts have started up and all the routes started OK,non_debt,-
camel,10033,comment_0,We were missing property in parent POM and camel-avro is using it in its Karaf feature definition.,non_debt,-
camel,10033,description,It hangs during installation in karaf,non_debt,-
camel,10033,summary,camel-avro - Cannot install in karaf,non_debt,-
camel,10048,comment_0,Adding a unit test to reproduce,non_debt,-
camel,10048,comment_1,"How to fix? I think, the best way is to remove this dangerous caching at all. There might be a temptation to implement equals() and hashCode() methods in the helper class in a way to delegate both these calls to the processor wrapped by this class. However, the root cause of the problem is the incorrect usage of a hash map. Key must implement equals() and hashCode(). We cannot require all implementations of Processor and RouteContext to implement these methods - it would be an unmotivated bloating of their contracts with irrelevant functionality. Error handlers in RoutingSlip are short-living objects, they shouldn't get into Old Gen, so GC will clean them without significant performance overhead.",design_debt,non-optimal_design
camel,10048,comment_2,"Hello Claus, Is it ok to use Processor as a key in a hash map? Should every implementer keep this in mind and provide equals() and hashCode()? Javadoc in Processor interface tells nothing about it.",documentation_debt,low_quality_documentation
camel,10048,description,"RoutingSlip has a cache of error handlers implemented as a ConcurrentHashMap. This map stores error handlers as values, and uses some synthetic objects as keys. For some kind of destinations provided in routing slip, map lookup operation does not work. Hence, new error handlers are always added to the map and existing error handlers never reused. Finally, the program runs out of memory. The synthetic keys are actually instances of class Such key is based on two objects: RouteContext and destination Processor. Neither RouteContext nor Processor do not require their implementations to provide equals() and hashCode() methods. Strictly speaking, caching implementation in RoutingSlip is incorrect, because it uses hash map in the discouraged way. However, for some cases it works. The problem occurs when routing slip contains a 'sync' destination, in other words - destination is a Processor that does not implement AsyncProcessor interface. RoutingSlip determines destination producer via and the latter uses method. This method creates new instance of Processor for every processor that is not an instance of AsyncProcessor. This is where the problem hides: new object has different hash code (defined by Object.hashCode()) and new object isn't equal to the object used as a key in the hash map (well, Object.equals()). Finally, new key for the hash map is calculated, lookup operation cannot find this key in the hash map, new key-value pair is put into the hash map.",design_debt,non-optimal_design
camel,10048,summary,Memory leak in RoutingSlip,code_debt,low_quality_code
camel,10060,comment_0,The package scanning is deprecated and you should really use the FQN in the marker file to refer to your classes of type converters.,non_debt,-
camel,10060,comment_1,A custom implementation of (extending the default) is likely needed for spring boot to be able to scan inside spring boot fat JARs,non_debt,-
